player,role,role_mantra,team,Prezzo_Consigliato_Cr,NN_FV_Atteso,NN_MV_Atteso,NN_Rischio_Std,Prob_Bonus_Ge_8_%,Prob_Picco_Ge_10_%,Clean_Sheet_%,FVM_1000,n_stagioni,mv_media_3y,mv_storica,mv_std,mv_trend,availability,gol_per_pg,ass_per_pg,amm_per_pg,rig_per_pg,n_seasons_us,xg_media_3y,xa_media_3y,xg_per90,xa_per90,npxg_per90,shots_per90,offensive_index,gf_avg_3y,giorni_infortunio_3y,n_infortuni_3y,infortunio_grave,malus_infortuni,starts_2627,sub_apps_2627,minutes_2627,is_starter_2627,starter_pct_2627,score_composito,score_composito_base,predicted_pts_p10,predicted_pts_p50,predicted_pts_p90,pts_volatility_spread,vorp_points,adj_market_fvm,prezzo_fair_1000,prezzo_fair_500,surplus_value_cr
Vojvoda,D,Dd;E,UDI,9,1.9,6.0,0.5,0.0,0.0,0.0,19,6.0,5.977,5.907,0.109,0.04,0.658,0.033,0.107,0.14,0.0,4.0,1.007,3.004,0.056,0.166,0.056,0.815,0.965,1.523,88,10,0,0.342,2,0,175,True,1.0,0.4673,0.4926,178.2,196.5,196.5,18.3,21.3,19.0,10,5,-9
Pisilli,C,C,ROM,7,1.9,6.0,0.5,0.0,0.0,0.0,19,3.0,5.038,4.023,2.845,3.045,0.605,0.087,0.109,0.217,0.0,2.0,2.538,1.58,0.195,0.116,0.195,1.682,1.0268,2.203,0,0,0,0.0,0,2,34,False,0.0,0.4671,0.4671,127.9,132.3,132.7,4.8,0.0,19.0,11,6,-8
Dominguez B.,C,W;A,SAS,4,1.2,6.0,0.5,0.0,0.0,0.0,12,2.0,5.98,6.055,0.225,,0.421,0.094,0.156,0.031,0.0,2.0,1.242,0.498,0.149,0.048,0.149,2.03,0.9714,1.594,24,3,0,0.093,0,2,46,False,0.0,0.4671,0.4737,101.1,102.8,102.8,1.7,0.0,12.0,7,4,-5
Omar Fayed,D,Dc,FRO,1,0.1,6.0,0.5,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,0.9827,1.718,118,4,0,0.459,0,1,0,False,0.0,0.4669,0.5014,157.0,161.7,161.7,4.7,0.0,1.0,1,1,0
Diego Carlos,D,Dc,PAR,8,2.6,6.0,0.5,0.0,0.0,0.0,26,1.0,6.14,6.14,0.0,,0.658,0.04,0.0,0.32,0.0,1.0,1.673,0.048,0.077,0.002,0.077,0.37,0.9545,1.408,134,9,0,0.521,0,0,0,False,0.0,0.4667,0.5063,138.7,140.4,140.4,1.7,0.0,26.0,14,7,-12
Fatah,A,W;A,LEC,4,1.4,6.0,0.5,0.0,0.0,0.0,14,,,,,,,,,,,,,,,,,,0.9201,1.029,122,6,0,0.474,0,1,18,False,0.0,0.466,0.5017,150.1,155.2,155.2,5.1,39.9,14.0,12,7,-2
Sucic P.,C,C,INT,9,2.1,6.0,0.5,0.0,0.0,0.0,21,1.0,6.07,6.07,0.0,,0.737,0.071,0.071,0.179,0.0,1.0,2.182,4.041,0.111,0.206,0.111,1.123,1.1,3.009,82,2,1,0.619,1,1,101,True,0.5,0.4649,0.5125,179.8,187.4,188.1,8.3,4.7,21.0,12,6,-9
Ostigard,D,Dc,GEN,11,4.1,6.0,0.5,0.0,0.0,0.0,41,4.0,6.032,5.915,0.184,0.14,0.467,0.092,0.0,0.169,0.0,3.0,1.814,0.327,0.078,0.019,0.078,0.619,0.9593,1.46,69,10,0,0.268,2,0,156,True,1.0,0.4648,0.4843,179.3,206.0,206.0,26.7,30.8,55.35,29,14,-12
Borrelli,A,Pc,CAG,4,0.9,6.0,0.5,0.0,0.0,0.0,9,2.0,5.947,5.96,0.04,,0.355,0.192,0.038,0.154,0.0,1.0,4.58,0.871,0.326,0.062,0.326,2.138,0.9604,1.472,76,4,0,0.296,0,2,36,False,0.0,0.4646,0.4862,83.6,83.6,86.4,2.8,0.0,9.0,8,5,-1
Zè Pedro,D,Dd;Dc,CAG,5,1.3,6.0,0.5,0.0,0.0,0.0,13,1.0,5.77,5.77,0.0,,0.579,0.0,0.045,0.273,0.0,1.0,0.745,0.458,0.039,0.024,0.039,0.366,0.9604,1.472,53,2,0,0.206,2,0,156,True,1.0,0.464,0.4788,180.3,188.5,188.5,8.2,13.3,13.0,7,4,-6
